mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	5/8	Dynamic	6/8	1	1	0					f						
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0							Allegro feroce				
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8		1/8	1	0				0			
1	0	0	0	0.5	0	5/8	Chord	6/8	2	1	1/8		1/8	1	1				1			
2	1	1/2	1/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2				0			
2	1	3/4	3/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	3				0			
2	1	1	1	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	4				0			
2	1	5/4	5/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	5				0			
2	1	3/2	3/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	6				0			
2	1	7/4	7/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	7				0			
2	1	2	2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	8				0			
2	1	9/4	9/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	9				0			
2	1	5/2	5/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	10				0			
2	1	11/4	11/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	11				0			
2	1	3	3	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	12				0			
2	1	13/4	13/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	13				0			
2	1	1/2	1/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	14				1			
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	15				1			
2	1	2	2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	16				1			
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	17				1			
3	2	7/2	7/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	18				0			
